libehca,unmapped,
konq-plugins,SBR-Desktop,,
krb5-auth-dialog,SBR-Idm,,
ksig,SBR-Desktop,,
ksshaskpass,SBR-Desktop,,
lapack,SBR-Lowvolume,,
latencytop,SBR-Lowvolume,,
latrace,SBR-Tools,SBR-Shells,
ldapjdk,SBR-Lowvolume,,
lftp,SBR-Shells,,
libICE,SBR-Desktop,,
libIDL,SBR-Services,,
libSM,SBR-Desktop,,
libX11,SBR-Desktop,,
libXScrnSaver,SBR-Desktop,,
libXau,SBR-Desktop,,
libXaw,SBR-Desktop,,
libXcomposite,SBR-Desktop,,
libXcursor,SBR-Desktop,,
libXdamage,SBR-Desktop,,
libXdmcp,SBR-Desktop,,
libXext,SBR-Desktop,,
libXfixes,SBR-Desktop,,
libXfont,SBR-Desktop,,
libXft,SBR-Desktop,,
libXi,SBR-Desktop,,
libXinerama,SBR-Desktop,,
libXmu,SBR-Desktop,,
libXp,SBR-Desktop,,
libXpm,SBR-Desktop,,
libXrandr,SBR-Desktop,,
libXrender,SBR-Desktop,,
libXres,SBR-Desktop,,
libXt,SBR-Desktop,,
libXtst,SBR-Desktop,,
libXv,SBR-Desktop,,
libXvMC,SBR-Desktop,,
libXxf86dga,SBR-Desktop,,
libXxf86misc,SBR-Desktop,,
libXxf86vm,SBR-Desktop,,
libaio,SBR-Storage,,
libao,SBR-Desktop,,
libarchive,SBR-Lowvolume,,
libart_lgpl,SBR-Desktop,,
libasyncns,SBR-Tools,,
libatasmart,SBR-Lowvolume,SBR-Storage,
libavc1394,SBR-Lowvolume,,
libbonobo,SBR-Desktop,,
libbonoboui,SBR-Desktop,,
libburn,SBR-Shells,,
libcacard,SBR-Lowvolume,,
libcanberra,SBR-Lowvolume,,
libcap,SBR-Lowvolume,,
libcap-ng,SBR-Lowvolume,,
libcdio,SBR-Lowvolume,,
libcgroup,SBR-Lowvolume,,
libchewing,SBR-Lowvolume,,
libcmpiutil,SBR-Lowvolume,,
libconfig,SBR-Lowvolume,,
libcroco,SBR-Desktop,,
libcxgb3,SBR-Lowvolume,,
libcxgb4,SBR-Lowvolume,,
libdaemon,SBR-Services,,
libdbi,SBR-Lowvolume,,
libdbi-drivers,SBR-Lowvolume,,
libdc1394,SBR-Desktop,,
libdiscid,SBR-Lowvolume,,
libdmx,SBR-Desktop,,
libdrm,SBR-Desktop,,
